Song,Date,Number of Plays
last,2022-09-18,1770
first,2022-09-19,564
third,2022-09-26,1588
last,2022-09-26,921
first,2022-09-20,1468
first,2022-09-24,859
forth,2022-09-18,846
first,2022-09-21,1822
third,2022-09-19,237
third,2022-09-25,1669
forth,2022-09-23,1159
forth,2022-09-26,631
first,2022-09-23,680
first,2022-09-25,1874
second,2022-09-26,114
forth,2022-09-21,1447
forth,2022-09-26,167
second,2022-09-25,800
third,2022-09-18,1695
third,2022-09-22,1648
second,2022-09-19,820
last,2022-09-25,1035
first,2022-09-26,1879
third,2022-09-23,1927
forth,2022-09-19,1233
third,2022-09-18,583
first,2022-09-20,1330
forth,2022-09-22,124
forth,2022-09-21,81
second,2022-09-23,133
third,2022-09-25,1043
first,2022-09-25,1135
second,2022-09-27,621
last,2022-09-24,856
last,2022-09-25,1425
first,2022-09-24,876
second,2022-09-21,1333
forth,2022-09-23,791
second,2022-09-27,1794
second,2022-09-22,82
third,2022-09-23,1350
forth,2022-09-18,193
second,2022-09-25,1895
forth,2022-09-25,1626
first,2022-09-24,125
second,2022-09-18,1946
second,2022-09-27,1422
second,2022-09-24,456
forth,2022-09-24,964
first,2022-09-27,1871
second,2022-09-19,1334
forth,2022-09-26,951
third,2022-09-21,894
third,2022-09-20,231
first,2022-09-26,1802
second,2022-09-27,513
third,2022-09-20,176
second,2022-09-21,1867
forth,2022-09-25,663
first,2022-09-20,1124
third,2022-09-27,1226
first,2022-09-20,1735
forth,2022-09-18,263
first,2022-09-18,729
first,2022-09-18,659
third,2022-09-27,481
first,2022-09-24,822
first,2022-09-20,1903
first,2022-09-25,98
last,2022-09-23,1835
third,2022-09-26,1657
second,2022-09-22,97
forth,2022-09-25,318
second,2022-09-25,1422
second,2022-09-19,143
forth,2022-09-22,104
forth,2022-09-22,157
first,2022-09-27,1149
first,2022-09-18,1585
first,2022-09-27,1002
second,2022-09-24,1909
third,2022-09-18,1291
second,2022-09-18,1934
first,2022-09-22,1802
first,2022-09-26,1855
third,2022-09-27,404
forth,2022-09-27,307
second,2022-09-20,339
second,2022-09-18,748
second,2022-09-18,7
last,2022-09-19,1329
last,2022-09-26,534
first,2022-09-24,1953
last,2022-09-27,885
first,2022-09-26,1452
first,2022-09-18,311
third,2022-09-18,19
third,2022-09-25,1653
third,2022-09-21,515
second,2022-09-20,717
first,2022-09-22,281
first,2022-09-27,556
third,2022-09-26,90
second,2022-09-24,815
first,2022-09-26,1671
last,2022-09-23,1866
forth,2022-09-26,1886
first,2022-09-24,1597
last,2022-09-23,1289
forth,2022-09-22,1552
forth,2022-09-18,454
third,2022-09-21,964
third,2022-09-24,1812
last,2022-09-23,422
second,2022-09-27,358
forth,2022-09-23,744
second,2022-09-24,1092
last,2022-09-23,580
third,2022-09-21,854
second,2022-09-27,1519
first,2022-09-22,1525
forth,2022-09-20,964
first,2022-09-19,1523
third,2022-09-27,424
forth,2022-09-25,610
last,2022-09-23,805
third,2022-09-25,282
first,2022-09-20,151
first,2022-09-21,721
third,2022-09-22,733
third,2022-09-21,968
third,2022-09-27,1437
second,2022-09-22,1241
third,2022-09-24,1729
first,2022-09-19,918
second,2022-09-24,1853
third,2022-09-24,1365
third,2022-09-26,941
first,2022-09-22,650
last,2022-09-21,1356
third,2022-09-27,297
third,2022-09-19,1298
first,2022-09-27,12
last,2022-09-25,1746
last,2022-09-24,1003
first,2022-09-27,737
first,2022-09-20,956
last,2022-09-24,668
forth,2022-09-24,1572
last,2022-09-20,1811
forth,2022-09-25,221
first,2022-09-18,754
last,2022-09-20,1111
last,2022-09-21,437
last,2022-09-24,596
forth,2022-09-22,1877
forth,2022-09-26,679
third,2022-09-21,1987
last,2022-09-20,1793
second,2022-09-21,307
forth,2022-09-26,1386
third,2022-09-26,801
first,2022-09-25,1897
third,2022-09-21,1363
second,2022-09-18,584
last,2022-09-22,1613
second,2022-09-19,1091
second,2022-09-23,1945
forth,2022-09-22,254
third,2022-09-21,1060
last,2022-09-22,1978
third,2022-09-18,160
forth,2022-09-27,474
first,2022-09-19,889
second,2022-09-23,1532
third,2022-09-26,638
forth,2022-09-26,362
forth,2022-09-21,1752
first,2022-09-24,1310
forth,2022-09-20,1266
forth,2022-09-25,950
first,2022-09-25,1997
forth,2022-09-25,1859
last,2022-09-19,297
first,2022-09-26,18
third,2022-09-23,445
forth,2022-09-22,1465
forth,2022-09-25,459
forth,2022-09-25,1922
third,2022-09-22,1969
first,2022-09-22,313
third,2022-09-23,733
forth,2022-09-24,6
third,2022-09-20,1687
last,2022-09-21,470
forth,2022-09-23,10
third,2022-09-25,20
forth,2022-09-22,1323
forth,2022-09-20,1593
second,2022-09-26,739
last,2022-09-25,1310
first,2022-09-26,949
third,2022-09-24,1134
last,2022-09-24,871
second,2022-09-20,445
second,2022-09-26,438
second,2022-09-20,476
last,2022-09-21,1579
first,2022-09-23,782
second,2022-09-24,1359
second,2022-09-25,1226
third,2022-09-22,67
third,2022-09-26,223
forth,2022-09-20,1321
second,2022-09-21,739
forth,2022-09-24,1678
first,2022-09-25,1465
second,2022-09-18,198
last,2022-09-27,1079
third,2022-09-25,378
second,2022-09-25,1197
forth,2022-09-25,1672
second,2022-09-21,1611
first,2022-09-26,904
forth,2022-09-24,1710
first,2022-09-20,819
third,2022-09-25,1224
first,2022-09-26,877
third,2022-09-23,1176
second,2022-09-23,47
forth,2022-09-27,316
forth,2022-09-27,470
second,2022-09-25,1095
first,2022-09-21,90
last,2022-09-25,1476
third,2022-09-24,1300
third,2022-09-18,1160
second,2022-09-20,549
last,2022-09-23,1488
first,2022-09-27,1379
first,2022-09-21,1570
third,2022-09-21,1597
second,2022-09-23,900
third,2022-09-19,1968
first,2022-09-27,1452
second,2022-09-18,1870
forth,2022-09-19,975
second,2022-09-26,1161
third,2022-09-26,1264
last,2022-09-18,1320
forth,2022-09-24,1458
last,2022-09-25,922
first,2022-09-20,955
second,2022-09-20,508
second,2022-09-27,751
third,2022-09-20,1999
first,2022-09-27,1741
last,2022-09-21,1460
first,2022-09-20,1182
third,2022-09-21,878
first,2022-09-20,692
last,2022-09-24,339
second,2022-09-27,1039
second,2022-09-19,18
forth,2022-09-25,998
forth,2022-09-26,1146
third,2022-09-18,1154
second,2022-09-20,341
first,2022-09-24,1983
second,2022-09-20,1683
third,2022-09-20,125
first,2022-09-25,1994
forth,2022-09-24,1848
first,2022-09-25,335
forth,2022-09-18,1182
last,2022-09-19,714
second,2022-09-23,918
third,2022-09-25,1880
forth,2022-09-27,741
third,2022-09-21,1701
third,2022-09-24,1347
last,2022-09-23,834
second,2022-09-27,123
forth,2022-09-24,1911
third,2022-09-25,1980
last,2022-09-27,60
forth,2022-09-22,1489
forth,2022-09-22,1386
third,2022-09-25,623
third,2022-09-19,312
last,2022-09-24,59
first,2022-09-18,348
second,2022-09-26,1957
forth,2022-09-23,518
second,2022-09-21,1691
last,2022-09-20,1095
second,2022-09-19,141
first,2022-09-19,1635
third,2022-09-20,618
forth,2022-09-20,573
first,2022-09-19,1618
second,2022-09-20,1062
last,2022-09-22,1236
first,2022-09-27,99
last,2022-09-25,175
third,2022-09-26,893
forth,2022-09-19,1203
first,2022-09-25,1333
second,2022-09-19,71
third,2022-09-26,811
first,2022-09-19,1085
second,2022-09-20,728
third,2022-09-22,44
forth,2022-09-20,704
forth,2022-09-18,1030
third,2022-09-20,273
second,2022-09-20,1792
second,2022-09-24,178
first,2022-09-23,119
first,2022-09-19,1449
first,2022-09-20,1512
last,2022-09-21,232
third,2022-09-19,868
first,2022-09-20,512
first,2022-09-20,1244
forth,2022-09-26,795
last,2022-09-21,1334
forth,2022-09-18,1979
last,2022-09-27,156
last,2022-09-27,908
second,2022-09-25,1098
last,2022-09-22,1902
first,2022-09-21,448
first,2022-09-22,1289
forth,2022-09-22,1814
second,2022-09-18,457
last,2022-09-27,1056
last,2022-09-27,1368
last,2022-09-26,1205
third,2022-09-22,726
last,2022-09-18,793
second,2022-09-26,1651
first,2022-09-22,1686
second,2022-09-18,3
first,2022-09-26,69
forth,2022-09-21,193
last,2022-09-26,528
third,2022-09-23,207
last,2022-09-23,183
forth,2022-09-26,1796
first,2022-09-20,435
second,2022-09-22,1561
second,2022-09-22,790
second,2022-09-25,1417
second,2022-09-25,639
last,2022-09-26,707
forth,2022-09-20,646
last,2022-09-19,1854
second,2022-09-22,19
third,2022-09-23,1041
second,2022-09-24,1782
third,2022-09-26,272
third,2022-09-25,327
first,2022-09-18,1997
third,2022-09-27,978
last,2022-09-20,1527
second,2022-09-22,1744
last,2022-09-20,1979
first,2022-09-21,1394
first,2022-09-25,1411
last,2022-09-19,274
forth,2022-09-20,229
forth,2022-09-21,90
forth,2022-09-23,543
third,2022-09-27,684
forth,2022-09-27,1402
forth,2022-09-22,1725
third,2022-09-23,1585
third,2022-09-18,1401
first,2022-09-26,457
first,2022-09-20,1659
first,2022-09-23,965
first,2022-09-27,1075
forth,2022-09-22,1324
first,2022-09-23,798
second,2022-09-27,1678
third,2022-09-18,1278
third,2022-09-18,548
forth,2022-09-26,1574
forth,2022-09-26,1248
last,2022-09-20,781
last,2022-09-20,62
forth,2022-09-26,324
first,2022-09-20,1033
first,2022-09-23,1477
last,2022-09-22,326
last,2022-09-27,352
last,2022-09-18,84
third,2022-09-27,816
second,2022-09-24,223
first,2022-09-23,1490
first,2022-09-22,266
forth,2022-09-20,1321
third,2022-09-18,553
first,2022-09-22,1222
third,2022-09-19,869
first,2022-09-26,882
third,2022-09-22,1560
forth,2022-09-20,862
second,2022-09-27,1734
second,2022-09-19,1112
third,2022-09-21,1286
third,2022-09-26,1039
second,2022-09-22,284
forth,2022-09-23,662
second,2022-09-23,1584
forth,2022-09-20,11
second,2022-09-25,1133
third,2022-09-25,877
third,2022-09-22,1462
forth,2022-09-27,1804
second,2022-09-24,171
forth,2022-09-18,1338
last,2022-09-18,372
second,2022-09-27,27
last,2022-09-27,104
second,2022-09-26,1040
forth,2022-09-26,549
third,2022-09-23,1806
first,2022-09-20,604
third,2022-09-23,1082
last,2022-09-21,1164
second,2022-09-20,1544
last,2022-09-23,1295
last,2022-09-20,177
forth,2022-09-23,26
last,2022-09-18,1306
forth,2022-09-25,813
first,2022-09-19,758
third,2022-09-26,334
third,2022-09-26,806
first,2022-09-20,1885
last,2022-09-22,1983
forth,2022-09-25,741
third,2022-09-19,13
first,2022-09-22,592
first,2022-09-24,50
forth,2022-09-21,1465
first,2022-09-25,1768
third,2022-09-25,1516
third,2022-09-19,1228
first,2022-09-18,1473
forth,2022-09-26,1022
last,2022-09-24,1148
last,2022-09-19,250
third,2022-09-18,1897
first,2022-09-20,1711
first,2022-09-25,143
last,2022-09-26,1549
last,2022-09-24,516
second,2022-09-23,976
forth,2022-09-21,972
third,2022-09-26,1788
second,2022-09-25,1046
first,2022-09-20,1559
last,2022-09-25,699
last,2022-09-20,271
second,2022-09-24,180
first,2022-09-21,58
second,2022-09-18,546
second,2022-09-21,651
last,2022-09-24,397
second,2022-09-23,1374
first,2022-09-21,1051
forth,2022-09-18,586
second,2022-09-20,803
third,2022-09-26,221
first,2022-09-24,1335
last,2022-09-25,1189
first,2022-09-20,1708
second,2022-09-27,627
first,2022-09-24,660
last,2022-09-18,436
third,2022-09-24,1655
second,2022-09-23,1546
last,2022-09-26,901
forth,2022-09-24,595
forth,2022-09-24,958
third,2022-09-25,217
second,2022-09-27,1507
last,2022-09-18,332
last,2022-09-18,660
third,2022-09-26,1561
forth,2022-09-25,274
first,2022-09-21,667
forth,2022-09-20,401
last,2022-09-21,261
first,2022-09-26,879
second,2022-09-22,855
third,2022-09-24,1560
second,2022-09-27,582
third,2022-09-20,85
last,2022-09-23,138
third,2022-09-22,798
last,2022-09-23,1545
first,2022-09-24,906
last,2022-09-27,1555
third,2022-09-23,325
last,2022-09-20,1892
third,2022-09-23,1093
third,2022-09-21,510
forth,2022-09-20,766
forth,2022-09-21,1959
first,2022-09-20,996
forth,2022-09-25,1566
forth,2022-09-26,1516
second,2022-09-18,357
second,2022-09-26,1099
forth,2022-09-23,1704
second,2022-09-25,683
second,2022-09-19,1690
third,2022-09-26,779
second,2022-09-22,1481
last,2022-09-27,885
last,2022-09-23,1240
last,2022-09-26,521
forth,2022-09-24,416
third,2022-09-26,1394
third,2022-09-26,1588
third,2022-09-26,574
second,2022-09-22,308
second,2022-09-24,1103
third,2022-09-21,285
forth,2022-09-22,275
forth,2022-09-20,776
third,2022-09-19,1033
forth,2022-09-23,1777
forth,2022-09-19,773
second,2022-09-24,1837
second,2022-09-19,1387
forth,2022-09-20,622
first,2022-09-24,1458
third,2022-09-26,1554
first,2022-09-21,1477
first,2022-09-22,1434
last,2022-09-20,942
second,2022-09-26,1467
second,2022-09-27,1077
forth,2022-09-21,484
second,2022-09-19,1166
second,2022-09-25,669
third,2022-09-18,1999
third,2022-09-19,1088
first,2022-09-23,1481
third,2022-09-18,448
second,2022-09-25,1203
forth,2022-09-22,969
second,2022-09-23,1604
first,2022-09-19,1820
last,2022-09-27,821
last,2022-09-19,54
last,2022-09-18,308
first,2022-09-23,1723
first,2022-09-18,140
second,2022-09-26,1746
third,2022-09-27,1165
first,2022-09-22,1255
second,2022-09-21,331
third,2022-09-24,1
second,2022-09-18,1296
second,2022-09-20,845
last,2022-09-26,906
last,2022-09-26,264
first,2022-09-18,1045
first,2022-09-23,1810
third,2022-09-21,1169
third,2022-09-22,1793
third,2022-09-19,1374
third,2022-09-25,365
forth,2022-09-25,746
last,2022-09-24,1745
forth,2022-09-22,1663
forth,2022-09-25,1525
third,2022-09-27,1272
forth,2022-09-24,1484
second,2022-09-24,368
last,2022-09-23,546
last,2022-09-23,203
second,2022-09-19,680
third,2022-09-23,1452
third,2022-09-20,355
first,2022-09-27,462
last,2022-09-23,331
third,2022-09-24,872
first,2022-09-26,1008
first,2022-09-21,1628
last,2022-09-25,117
first,2022-09-25,1639
second,2022-09-18,1589
first,2022-09-25,1476
third,2022-09-22,1599
first,2022-09-19,1627
last,2022-09-19,1029
third,2022-09-24,1122
first,2022-09-26,1266
last,2022-09-25,213
forth,2022-09-25,135
last,2022-09-23,226
second,2022-09-20,1786
last,2022-09-27,762
forth,2022-09-18,1026
first,2022-09-26,1711
third,2022-09-18,941
last,2022-09-18,1843
second,2022-09-19,686
forth,2022-09-18,721
third,2022-09-24,1622
second,2022-09-25,1312
third,2022-09-27,1317
forth,2022-09-23,1193
first,2022-09-25,270
forth,2022-09-19,878
second,2022-09-23,1872
last,2022-09-25,1889
last,2022-09-21,960
third,2022-09-21,1865
last,2022-09-27,1265
second,2022-09-20,1551
first,2022-09-21,1724
forth,2022-09-24,1593
forth,2022-09-26,1240
second,2022-09-19,841
third,2022-09-25,1259
last,2022-09-21,414
last,2022-09-26,471
first,2022-09-23,869
forth,2022-09-20,1759
last,2022-09-24,1915
third,2022-09-23,605
first,2022-09-19,1490
first,2022-09-26,340
third,2022-09-24,733
first,2022-09-25,991
first,2022-09-18,922
second,2022-09-26,254
first,2022-09-24,308
last,2022-09-25,570
first,2022-09-22,550
last,2022-09-20,338
forth,2022-09-25,616
second,2022-09-22,1845
first,2022-09-26,1189
first,2022-09-18,184
second,2022-09-26,51
third,2022-09-22,885
third,2022-09-24,1496
first,2022-09-27,1967
second,2022-09-20,615
forth,2022-09-27,599
last,2022-09-20,126
first,2022-09-27,1656
second,2022-09-27,1976
forth,2022-09-20,114
forth,2022-09-24,221
forth,2022-09-22,669
last,2022-09-25,17
first,2022-09-19,355
forth,2022-09-26,1428
first,2022-09-18,564
second,2022-09-26,34
forth,2022-09-24,159
last,2022-09-25,1253
forth,2022-09-18,195
second,2022-09-19,421
second,2022-09-19,278
first,2022-09-26,852
second,2022-09-21,1422
first,2022-09-18,1529
last,2022-09-24,739
first,2022-09-20,1902
last,2022-09-19,245
last,2022-09-22,386
last,2022-09-20,134
forth,2022-09-20,1166
second,2022-09-24,1423
third,2022-09-26,447
last,2022-09-19,28
second,2022-09-18,1424
third,2022-09-20,287
last,2022-09-25,1907
third,2022-09-26,977
forth,2022-09-22,379
forth,2022-09-24,1410
last,2022-09-19,46
second,2022-09-18,1578
forth,2022-09-27,1987
forth,2022-09-21,490
last,2022-09-22,1922
second,2022-09-18,285
forth,2022-09-26,1200
first,2022-09-18,1054
forth,2022-09-26,1961
second,2022-09-20,1660
first,2022-09-23,1361
second,2022-09-21,135
third,2022-09-27,293
first,2022-09-27,814
last,2022-09-25,967
second,2022-09-21,1175
forth,2022-09-19,1850
forth,2022-09-22,756
last,2022-09-18,1770
first,2022-09-25,257
third,2022-09-21,742
third,2022-09-26,1757
forth,2022-09-23,1851
last,2022-09-23,458
third,2022-09-24,1257
first,2022-09-24,531
last,2022-09-21,1126
forth,2022-09-22,1226
second,2022-09-18,659
forth,2022-09-20,928
last,2022-09-19,1282
third,2022-09-26,868
second,2022-09-21,1382
second,2022-09-22,699
second,2022-09-26,1542
second,2022-09-26,1776
second,2022-09-25,1773
third,2022-09-22,228
forth,2022-09-25,1651
first,2022-09-21,152
last,2022-09-27,148
first,2022-09-18,176
third,2022-09-21,197
first,2022-09-23,406
last,2022-09-22,825
last,2022-09-20,359
first,2022-09-19,1967
third,2022-09-20,827
forth,2022-09-23,1494
second,2022-09-22,819
last,2022-09-21,1245
forth,2022-09-23,273
second,2022-09-24,641
last,2022-09-27,1394
last,2022-09-25,1201
last,2022-09-23,31
first,2022-09-24,88
forth,2022-09-20,1653
first,2022-09-21,958
last,2022-09-22,632
first,2022-09-27,1
forth,2022-09-23,495
second,2022-09-23,1108
third,2022-09-27,530
last,2022-09-20,68
forth,2022-09-23,1011
last,2022-09-26,1774
last,2022-09-27,660
forth,2022-09-18,1596
third,2022-09-22,83
last,2022-09-20,745
second,2022-09-25,1507
second,2022-09-18,1056
forth,2022-09-25,1080
third,2022-09-25,1776
third,2022-09-19,483
first,2022-09-27,1892
third,2022-09-25,246
second,2022-09-24,395
third,2022-09-27,1756
forth,2022-09-20,1301
first,2022-09-22,1742
second,2022-09-24,672
last,2022-09-19,467
forth,2022-09-24,1362
third,2022-09-23,1755
forth,2022-09-21,1430
first,2022-09-26,809
second,2022-09-26,331
forth,2022-09-22,1948
first,2022-09-21,1376
last,2022-09-23,1777
first,2022-09-26,1086
third,2022-09-21,1000
second,2022-09-26,1385
forth,2022-09-19,159
first,2022-09-21,817
last,2022-09-23,17
forth,2022-09-27,1855
third,2022-09-21,1361
last,2022-09-18,1434
last,2022-09-23,1189
first,2022-09-22,351
third,2022-09-19,680
forth,2022-09-18,935
first,2022-09-27,1203
last,2022-09-22,1734
second,2022-09-25,1119
second,2022-09-19,1765
last,2022-09-19,1113
last,2022-09-19,1564
third,2022-09-22,247
last,2022-09-21,1234
forth,2022-09-25,1537
first,2022-09-25,440
last,2022-09-26,22
second,2022-09-26,1241
second,2022-09-19,980
first,2022-09-25,1356
second,2022-09-26,1040
second,2022-09-19,1137
forth,2022-09-27,657
first,2022-09-24,754
third,2022-09-24,230
last,2022-09-18,1209
first,2022-09-23,76
last,2022-09-20,1147
forth,2022-09-20,1787
forth,2022-09-23,1126
last,2022-09-25,1822
forth,2022-09-22,243
last,2022-09-24,695
third,2022-09-23,1541
third,2022-09-25,1971
third,2022-09-25,1317
last,2022-09-21,1555
first,2022-09-27,1925
last,2022-09-23,1909
last,2022-09-18,1786
third,2022-09-18,1202
first,2022-09-19,1432
second,2022-09-24,1006
first,2022-09-19,179
forth,2022-09-20,219
forth,2022-09-22,831
last,2022-09-22,1400
third,2022-09-26,970
first,2022-09-25,1193
forth,2022-09-26,279
first,2022-09-23,1559
third,2022-09-18,1273
third,2022-09-23,740
last,2022-09-23,1268
first,2022-09-19,262
last,2022-09-23,316
first,2022-09-20,1421
last,2022-09-27,1795
forth,2022-09-25,950
last,2022-09-24,1890
forth,2022-09-22,317
forth,2022-09-25,364
third,2022-09-20,1916
second,2022-09-25,15
third,2022-09-20,685
forth,2022-09-23,1571
third,2022-09-18,1501
last,2022-09-22,1396
forth,2022-09-22,1746
second,2022-09-19,150
first,2022-09-23,639
second,2022-09-26,1453
third,2022-09-27,578
forth,2022-09-21,1933
first,2022-09-27,822
forth,2022-09-26,1950
last,2022-09-23,1689
first,2022-09-19,827
forth,2022-09-21,1990
first,2022-09-22,1178
second,2022-09-19,1495
last,2022-09-20,1529
third,2022-09-23,1837
first,2022-09-22,577
second,2022-09-22,116
last,2022-09-18,1181
second,2022-09-24,970
first,2022-09-18,1354
third,2022-09-22,1699
last,2022-09-27,253
last,2022-09-24,1323
third,2022-09-19,781
last,2022-09-25,360
forth,2022-09-24,643
third,2022-09-20,410
second,2022-09-20,1795
second,2022-09-18,753
third,2022-09-20,74
second,2022-09-25,1117
last,2022-09-25,968
last,2022-09-26,1146
last,2022-09-23,1791
second,2022-09-27,907
second,2022-09-19,1326
forth,2022-09-21,743
third,2022-09-19,1290
third,2022-09-21,537
forth,2022-09-22,1095
forth,2022-09-22,1518
third,2022-09-27,893
second,2022-09-23,1640
last,2022-09-21,1417
second,2022-09-27,728
last,2022-09-22,655
forth,2022-09-25,799
last,2022-09-27,1675
last,2022-09-23,1691
forth,2022-09-22,1340
second,2022-09-24,473
forth,2022-09-19,1366
forth,2022-09-26,462
last,2022-09-23,1624
first,2022-09-19,1482
forth,2022-09-18,401
second,2022-09-22,1328
third,2022-09-22,886
forth,2022-09-24,235
second,2022-09-20,49
forth,2022-09-20,1303
first,2022-09-21,1750
second,2022-09-22,1783
forth,2022-09-22,861
forth,2022-09-18,1562
forth,2022-09-26,129
last,2022-09-20,1726
last,2022-09-20,1112
first,2022-09-20,209
first,2022-09-24,1719
last,2022-09-27,1175
third,2022-09-22,165
first,2022-09-27,1844
second,2022-09-22,712
forth,2022-09-21,330
third,2022-09-27,1060
third,2022-09-23,122
last,2022-09-22,1015
last,2022-09-18,1975
forth,2022-09-21,260
forth,2022-09-24,1715
forth,2022-09-18,1394
forth,2022-09-24,1492
forth,2022-09-23,1661
second,2022-09-27,1065
first,2022-09-18,1295
forth,2022-09-23,1875
last,2022-09-27,1547
second,2022-09-21,691
second,2022-09-22,878
forth,2022-09-20,81
third,2022-09-22,174
second,2022-09-27,1021
third,2022-09-25,251
third,2022-09-21,811
second,2022-09-18,487
first,2022-09-20,1207
last,2022-09-22,1190
third,2022-09-21,570
forth,2022-09-20,80
last,2022-09-19,339
first,2022-09-19,657
last,2022-09-22,611
forth,2022-09-21,767
first,2022-09-22,474
forth,2022-09-18,475
second,2022-09-24,192
last,2022-09-25,1276
second,2022-09-18,1221
last,2022-09-24,307
last,2022-09-23,818
second,2022-09-24,917
forth,2022-09-18,1154
second,2022-09-24,1765
third,2022-09-23,332
third,2022-09-21,1278
forth,2022-09-25,1255
first,2022-09-20,1324
second,2022-09-27,4
last,2022-09-26,1768
third,2022-09-20,510
last,2022-09-18,816
third,2022-09-22,248
last,2022-09-27,1304
second,2022-09-20,1812
forth,2022-09-21,1578
first,2022-09-26,1377
second,2022-09-24,496
second,2022-09-22,340
third,2022-09-22,1920
second,2022-09-18,212
second,2022-09-19,729
first,2022-09-23,1562
third,2022-09-27,175
last,2022-09-22,449
second,2022-09-22,1699
last,2022-09-27,945
first,2022-09-21,1932
forth,2022-09-21,187
third,2022-09-23,1384
forth,2022-09-21,65
last,2022-09-26,299
first,2022-09-22,880
first,2022-09-25,1353
first,2022-09-21,1922
last,2022-09-26,1297
last,2022-09-26,1196
third,2022-09-27,1496
first,2022-09-23,1240
third,2022-09-26,1197
first,2022-09-23,1876
second,2022-09-20,1171
second,2022-09-23,1983
third,2022-09-27,1973
last,2022-09-26,12
first,2022-09-22,1604
forth,2022-09-26,677
last,2022-09-20,1467
first,2022-09-22,677
first,2022-09-18,1792
last,2022-09-23,1216
second,2022-09-26,680
first,2022-09-18,478
third,2022-09-18,309
last,2022-09-21,354
third,2022-09-25,42
second,2022-09-20,1341
first,2022-09-19,571
forth,2022-09-27,1086
forth,2022-09-19,286
third,2022-09-20,1961
last,2022-09-20,1682
forth,2022-09-25,189
first,2022-09-20,909
first,2022-09-24,1006
second,2022-09-20,1063
last,2022-09-18,627
forth,2022-09-20,351
last,2022-09-24,1496
second,2022-09-26,1262
third,2022-09-26,1857
first,2022-09-21,1922
second,2022-09-22,89
forth,2022-09-24,1391
third,2022-09-18,1569
forth,2022-09-19,1603
third,2022-09-22,1489
last,2022-09-25,1446
last,2022-09-26,405
third,2022-09-21,858
first,2022-09-19,329
first,2022-09-24,628
last,2022-09-18,283
last,2022-09-18,805
first,2022-09-20,676
last,2022-09-19,790
forth,2022-09-23,781
forth,2022-09-23,1180
third,2022-09-19,706
second,2022-09-25,577
second,2022-09-20,1882
last,2022-09-21,1820
first,2022-09-22,115
third,2022-09-21,844
forth,2022-09-24,1369
third,2022-09-23,1284
third,2022-09-26,1937
second,2022-09-22,1803
last,2022-09-19,927
third,2022-09-23,1796
third,2022-09-26,1104
first,2022-09-23,1916
third,2022-09-18,35
second,2022-09-27,1149
first,2022-09-19,801
first,2022-09-27,1395
third,2022-09-23,467
first,2022-09-20,1556
first,2022-09-21,276
first,2022-09-20,758
first,2022-09-22,567
forth,2022-09-24,85
second,2022-09-20,406
third,2022-09-25,1608
forth,2022-09-25,1551
third,2022-09-24,215
third,2022-09-19,1945
second,2022-09-18,1068
last,2022-09-27,729
first,2022-09-19,450
forth,2022-09-24,1522
first,2022-09-19,1324
third,2022-09-27,755
third,2022-09-25,770
last,2022-09-27,858
third,2022-09-26,713
forth,2022-09-21,513
first,2022-09-20,1298
last,2022-09-22,862
last,2022-09-21,1565
second,2022-09-19,640
last,2022-09-23,0
last,2022-09-23,549
second,2022-09-19,941
last,2022-09-27,454
first,2022-09-25,566
forth,2022-09-24,1611
forth,2022-09-18,1301
forth,2022-09-24,204
third,2022-09-26,474
forth,2022-09-21,1289
forth,2022-09-18,1111
third,2022-09-21,1366
first,2022-09-21,158
second,2022-09-22,1091
first,2022-09-22,1183
second,2022-09-27,1944
last,2022-09-23,1177
first,2022-09-20,285
last,2022-09-23,238
second,2022-09-27,1968
last,2022-09-18,1192
forth,2022-09-18,437
third,2022-09-23,144
second,2022-09-25,857
first,2022-09-22,1909
last,2022-09-20,1110
third,2022-09-19,54
third,2022-09-22,906
second,2022-09-22,1807
second,2022-09-19,186
second,2022-09-19,712
last,2022-09-21,969
forth,2022-09-18,326
first,2022-09-21,308
forth,2022-09-18,1555
last,2022-09-26,1236
third,2022-09-21,1857
forth,2022-09-19,167
second,2022-09-26,1931
forth,2022-09-26,1532
third,2022-09-26,672
first,2022-09-27,756
third,2022-09-20,1993
last,2022-09-19,597
forth,2022-09-22,1262
last,2022-09-25,2
last,2022-09-18,1910
first,2022-09-21,49
third,2022-09-21,1065
last,2022-09-18,1797
first,2022-09-21,1319
first,2022-09-18,781
forth,2022-09-25,111
first,2022-09-20,22
second,2022-09-20,849
last,2022-09-27,1769
third,2022-09-21,610
last,2022-09-18,1863
third,2022-09-22,743
third,2022-09-24,1666
forth,2022-09-24,1685
last,2022-09-22,1559
forth,2022-09-22,487
second,2022-09-27,209
last,2022-09-26,1005
forth,2022-09-21,167
last,2022-09-18,429
last,2022-09-26,1566
first,2022-09-21,330
third,2022-09-26,1869
third,2022-09-20,1328
first,2022-09-19,804
third,2022-09-23,230
forth,2022-09-24,1963
third,2022-09-24,1533
forth,2022-09-19,95
first,2022-09-18,912
second,2022-09-26,1372
second,2022-09-22,902
first,2022-09-22,1107
first,2022-09-19,1523
forth,2022-09-20,125
third,2022-09-25,107
forth,2022-09-20,1862
first,2022-09-26,6
second,2022-09-27,1416
last,2022-09-23,1915
second,2022-09-21,278
second,2022-09-25,948
last,2022-09-21,1306
last,2022-09-19,1490
forth,2022-09-24,190
third,2022-09-23,1879
second,2022-09-25,963
last,2022-09-27,1741
